price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod,,,
1679,0.5,62.5,52.4,5.07,5.11,3.18,Ideal,F,VS1,3,4,no,no,ok
2776,0.54,61.5,57,5.24,5.26,3.23,Ideal,E,VVS2,2,3,no,ok,ok
2776,0.72,61.8,56,5.72,5.75,3.55,Ideal,G,SI1,4,6,no,ok,ok
2776,0.72,60.7,56,5.79,5.82,3.53,Ideal,G,SI1,4,6,no,ok,ok
2776,0.71,60.5,56,5.8,5.76,3.5,Ideal,G,SI1,4,6,no,ok,ok
2777,0.7,62.1,55,5.7,5.67,3.53,Ideal,E,VS2,2,5,no,ok,ok
2777,0.7,61.4,57,5.76,5.7,3.52,Ideal,E,SI1,2,6,no,ok,ok
2778,0.52,61.3,55,5.19,5.22,3.19,Ideal,F,VVS1,3,2,no,ok,ok
2779,0.74,61.7,56,5.84,5.8,3.59,Ideal,E,SI1,2,6,no,ok,ok
2780,0.71,62.1,54,5.68,5.72,3.54,Ideal,F,VS2,3,5,no,ok,ok
2780,0.74,61.5,55,5.81,5.86,3.59,Ideal,G,VS1,4,4,no,ok,ok
2780,0.7,61.4,59,5.64,5.73,3.49,Ideal,G,VS1,4,4,no,ok,ok
2781,0.77,62.2,56,5.83,5.88,3.64,Ideal,H,SI1,5,6,no,ok,ok
2781,0.78,61.2,56,5.92,5.99,3.64,Ideal,H,SI1,5,6,no,ok,ok
2782,0.76,61.3,56,5.9,5.94,3.63,Ideal,G,VS2,4,5,no,ok,ok
2782,0.72,60.8,57,5.76,5.75,3.5,Ideal,D,SI1,1,6,no,ok,ok
930,0.46,62,53,4.99,5.04,3.11,Ideal,G,SI1,4,6,no,no,ok
782,0.47,62.4,53,4.98,5.02,3.12,Ideal,H,SI2,5,7,ok,no,ok
2787,0.64,61.5,56,5.54,5.55,3.41,Ideal,D,VS1,1,4,no,ok,ok
2788,0.76,61.8,56,5.85,5.87,3.62,Ideal,I,VVS2,6,3,no,ok,ok
2788,0.71,62.5,55,5.71,5.65,3.55,Ideal,F,SI1,3,6,no,ok,ok
2789,0.81,61.6,56,5.97,6.01,3.69,Ideal,G,SI2,4,7,no,ok,ok
2789,0.7,61.6,56,5.72,5.75,3.53,Ideal,E,SI1,2,6,no,ok,ok
915,0.5,62.5,53,5.09,5.12,3.19,Ideal,J,VS2,7,5,no,no,ok
2790,0.64,61.3,56,5.54,5.58,3.41,Ideal,G,IF,4,1,no,ok,ok
2790,0.83,62.3,55,6.02,6.05,3.76,Ideal,F,SI2,3,7,no,ok,ok
2791,0.73,62.2,56,5.74,5.78,3.58,Ideal,E,SI1,2,6,no,ok,ok
2792,0.7,62.2,56,5.73,5.68,3.55,Ideal,F,VS1,3,4,no,ok,ok
2793,0.76,61.3,56,5.87,5.91,3.61,Ideal,I,VS2,6,5,no,ok,ok
2793,0.73,62.7,55,5.72,5.76,3.6,Ideal,H,VS2,5,5,no,ok,ok
2795,0.81,62.6,55,5.92,5.96,3.72,Ideal,F,SI2,3,7,no,ok,ok
2797,0.57,61.9,55,5.34,5.35,3.31,Ideal,F,VVS2,3,3,no,ok,ok
1177,0.51,62.7,53,5.09,5.12,3.2,Ideal,E,SI2,2,7,no,no,ok
2797,0.72,61.9,58,5.72,5.75,3.55,Ideal,G,VS2,4,5,no,ok,ok
2797,0.74,61.8,58,5.77,5.81,3.58,Ideal,H,VS1,5,4,no,ok,ok
2797,0.74,61.6,56,5.81,5.82,3.58,Ideal,H,VS1,5,4,no,ok,ok
2798,0.77,61.5,59,5.87,5.91,3.62,Ideal,I,VS1,6,4,no,ok,ok
2799,0.82,62.4,54,5.97,6.02,3.74,Ideal,F,SI2,3,7,no,ok,ok
2799,0.78,61.9,57,5.91,5.86,3.64,Ideal,D,SI1,1,6,no,ok,ok
2800,0.83,62.3,57,5.99,6.08,3.76,Ideal,G,SI1,4,6,no,ok,ok
2800,0.83,61.8,57,6.03,6.07,3.74,Ideal,G,SI1,4,6,no,ok,ok
2800,0.79,61.8,59,5.92,5.95,3.67,Ideal,I,VS1,6,4,no,ok,ok
2800,0.61,62.3,56,5.43,5.45,3.39,Ideal,G,IF,4,1,no,ok,ok
2801,0.96,60.7,55,6.37,6.41,3.88,Ideal,F,I1,3,8,no,ok,ok
2801,0.73,62.5,55,5.8,5.76,3.61,Ideal,F,VS2,3,5,no,ok,ok
2801,0.75,60.4,57,5.93,5.96,3.59,Ideal,H,SI1,5,6,no,ok,ok
2802,0.53,61.9,54,5.22,5.25,3.24,Ideal,F,IF,3,1,no,ok,ok
2803,0.71,61.3,56,5.75,5.71,3.51,Ideal,G,VS2,4,5,no,ok,ok
2803,0.91,62.2,57,6.21,6.15,3.85,Ideal,D,SI2,1,7,no,ok,ok
2804,0.72,61.7,57,5.74,5.77,3.55,Ideal,F,VS1,3,4,no,ok,ok
2804,0.82,61.5,56,6.01,6.08,3.72,Ideal,H,VS2,5,5,no,ok,ok
2804,0.7,61,59,5.68,5.7,3.47,Ideal,D,SI1,1,6,no,ok,ok
2804,0.72,62.2,56,5.74,5.77,3.58,Ideal,D,SI1,1,6,no,ok,ok
2804,0.72,61.5,54,5.77,5.8,3.56,Ideal,D,SI1,1,6,no,ok,ok
2805,0.72,62.8,56,5.74,5.7,3.59,Ideal,G,VS2,4,5,no,ok,ok
2806,0.7,61.6,55,5.72,5.74,3.53,Ideal,F,SI1,3,6,no,ok,ok
2810,0.74,61.7,55,5.81,5.85,3.6,Ideal,D,SI2,1,7,no,ok,ok
2812,0.71,62.4,57,5.69,5.72,3.56,Ideal,D,SI1,1,6,no,ok,ok
1265,0.51,62.7,53,5.12,5.09,3.2,Ideal,E,SI2,2,7,no,no,ok
2815,0.7,60.4,56,5.75,5.81,3.49,Ideal,H,SI1,5,6,no,ok,ok
2815,0.7,61.4,56,5.7,5.76,3.52,Ideal,H,SI1,5,6,no,ok,ok
2816,0.61,60.1,57,5.52,5.54,3.32,Ideal,G,VVS2,4,3,ok,ok,ok
2817,0.71,60.2,56,5.84,5.89,3.53,Ideal,I,VVS2,6,3,ok,ok,ok
2817,0.63,61.5,56,5.48,5.52,3.38,Ideal,F,VVS2,3,3,ok,ok,ok
2820,0.71,62.9,58,5.66,5.69,3.57,Ideal,G,VS1,4,4,ok,ok,ok
1312,0.51,63,53,5.13,5.1,3.22,Ideal,G,SI1,4,6,ok,no,ok
1431,0.51,62.5,53,5.12,5.15,3.21,Ideal,F,VS2,3,5,ok,no,ok
2822,0.74,60.8,57,5.85,5.89,3.57,Ideal,I,VVS1,6,2,ok,ok,ok
2822,0.73,62.1,55,5.75,5.78,3.58,Ideal,F,SI1,3,6,ok,ok,ok
2822,0.7,60.7,56,5.75,5.72,3.48,Ideal,D,SI1,1,6,ok,ok,ok
2822,0.71,60.2,56,5.86,5.83,3.52,Ideal,D,SI1,1,6,ok,ok,ok
2822,0.7,59.7,58,5.82,5.77,3.46,Ideal,D,SI1,1,6,ok,ok,ok
2822,0.7,62.5,57,5.62,5.59,3.51,Ideal,D,SI1,1,6,ok,ok,ok
2822,0.7,61.8,56,5.73,5.63,3.51,Ideal,D,SI1,1,6,ok,ok,ok
2822,0.7,61.4,54,5.75,5.71,3.52,Ideal,D,SI1,1,6,ok,ok,ok
2824,0.77,62.1,57,5.84,5.86,3.63,Ideal,I,VVS2,6,3,ok,ok,ok
2824,0.82,62.4,54,6.02,5.97,3.74,Ideal,F,SI2,3,7,ok,ok,ok
2828,0.7,60.6,57,5.74,5.77,3.49,Ideal,D,SI2,1,7,ok,ok,ok
1223,0.52,62,53,5.16,5.2,3.21,Ideal,F,SI1,3,6,no,no,ok
1166,0.53,62.1,53,5.22,5.27,3.26,Ideal,G,SI1,4,6,no,no,ok
2830,0.8,62.1,54.4,5.94,5.99,3.7,Ideal,I,VS2,6,5,ok,ok,ok
2831,0.79,61.8,56,5.93,5.91,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2833,0.7,61,57,5.74,5.76,3.51,Ideal,D,VS2,1,5,ok,ok,ok
2834,0.8,62.2,56,5.94,5.87,3.67,Ideal,G,VS2,4,5,ok,ok,ok
2834,0.78,61.8,55,5.92,5.95,3.67,Ideal,I,VS2,6,5,ok,ok,ok
2839,0.73,61.8,54,5.8,5.82,3.59,Ideal,G,VS2,4,5,ok,ok,ok
2839,0.7,61.3,57,5.71,5.74,3.51,Ideal,G,VS1,4,4,ok,ok,ok
2840,0.92,61.9,56,6.27,6.2,3.86,Ideal,D,SI2,1,7,ok,ok,ok
1647,0.54,61.6,53,5.26,5.3,3.25,Ideal,I,IF,6,1,ok,no,ok
2841,0.73,61.4,57,5.76,5.8,3.55,Ideal,D,SI1,1,6,ok,ok,ok
2842,0.8,62.6,54,5.92,5.96,3.72,Ideal,I,VS1,6,4,ok,ok,ok
2843,0.73,61.3,57,5.81,5.84,3.57,Ideal,G,VVS2,4,3,ok,ok,ok
2843,0.71,60.7,57,5.81,5.78,3.52,Ideal,G,VVS2,4,3,ok,ok,ok
2844,1.01,61.5,57,6.45,6.46,3.97,Ideal,I,I1,6,8,ok,ok,ok
2846,0.79,61.5,56,5.96,5.91,3.65,Ideal,D,SI1,1,6,ok,ok,ok
1590,0.51,61.7,53,5.18,5.2,3.2,Ideal,E,VS2,2,5,ok,no,ok
2851,0.66,62.1,56,5.54,5.57,3.45,Ideal,D,VS1,1,4,ok,ok,ok
2852,0.78,61.5,57,5.88,5.92,3.63,Ideal,I,VS1,6,4,ok,ok,ok
2852,0.74,61.3,55,5.85,5.86,3.59,Ideal,G,SI1,4,6,ok,ok,ok
2853,0.79,62.8,57,5.9,5.85,3.69,Ideal,D,SI2,1,7,ok,ok,ok
2856,0.8,61.6,56,5.97,6.01,3.69,Ideal,G,SI2,4,7,ok,ok,ok
2858,0.7,62.1,56,5.63,5.71,3.52,Ideal,G,VVS2,4,3,ok,ok,ok
2858,0.73,61.5,56,5.84,5.8,3.58,Ideal,D,SI1,1,6,ok,ok,ok
2859,0.7,61,57,5.76,5.74,3.51,Ideal,D,VS2,1,5,ok,ok,ok
2859,0.71,61.5,56,5.74,5.78,3.54,Ideal,G,VS1,4,4,ok,ok,ok
1308,0.57,62.2,53,5.34,5.4,3.34,Ideal,F,SI2,3,7,ok,no,ok
2861,0.62,61.6,56,5.45,5.48,3.37,Ideal,G,VVS2,4,3,ok,ok,ok
2861,0.62,61.6,56,5.48,5.51,3.38,Ideal,G,VVS2,4,3,ok,ok,ok
2863,0.71,60.8,56,5.8,5.77,3.52,Ideal,D,SI1,1,6,ok,ok,ok
2863,0.71,61.7,57,5.75,5.7,3.53,Ideal,D,SI1,1,6,ok,ok,ok
2867,0.7,62.4,57,5.68,5.61,3.52,Ideal,D,VS2,1,5,ok,ok,ok
1618,0.47,62.2,53,5,5.04,3.12,Ideal,G,VVS2,4,3,ok,no,ok
2867,0.8,61.3,57,5.96,5.91,3.64,Ideal,G,SI1,4,6,ok,ok,ok
2868,0.72,62.4,55,5.72,5.75,3.58,Ideal,I,VS1,6,4,ok,ok,ok
2868,0.62,60.5,57,5.52,5.56,3.35,Ideal,G,IF,4,1,ok,ok,ok
2869,0.62,61.8,56,5.43,5.47,3.37,Ideal,G,IF,4,1,ok,ok,ok
2869,0.73,61.3,57,5.84,5.81,3.57,Ideal,G,VVS2,4,3,ok,ok,ok
2870,0.8,62.5,57,5.94,5.9,3.7,Ideal,G,SI1,4,6,ok,ok,ok
2871,0.75,61.8,55,5.83,5.85,3.61,Ideal,I,SI1,6,6,ok,ok,ok
2871,0.79,62.6,55,5.91,5.95,3.71,Ideal,G,SI1,4,6,ok,ok,ok
2872,1.02,61.7,56,6.44,6.49,3.99,Ideal,I,I1,6,8,ok,ok,ok
2872,0.7,61.8,56,5.63,5.73,3.51,Ideal,D,SI1,1,6,ok,ok,ok
2872,0.7,61.4,54,5.71,5.75,3.52,Ideal,D,SI1,1,6,ok,ok,ok
2872,0.7,60.7,56,5.72,5.75,3.48,Ideal,D,SI1,1,6,ok,ok,ok
2873,1,61.7,56,6.45,6.41,3.97,Ideal,I,SI2,6,7,ok,ok,ok
2877,0.74,62.3,55,5.8,5.83,3.62,Ideal,G,VS2,4,5,ok,ok,ok
2878,0.71,61.5,55,5.76,5.78,3.55,Ideal,I,VS2,6,5,ok,ok,ok
2879,0.84,61,56,6.13,6.1,3.73,Ideal,G,SI2,4,7,ok,ok,ok
2879,0.84,62.3,55,6.08,6.03,3.77,Ideal,G,SI2,4,7,ok,ok,ok
2883,0.72,61.8,56,5.75,5.81,3.57,Ideal,D,SI1,1,6,ok,ok,ok
2885,0.77,61.5,55,5.9,5.93,3.64,Ideal,D,SI2,1,7,ok,ok,ok
2888,0.79,61.7,59,5.93,5.96,3.67,Ideal,I,VS1,6,4,ok,ok,ok
2890,0.66,61.5,56,5.61,5.58,3.44,Ideal,G,VVS1,4,2,ok,ok,ok
2891,0.72,61.1,56,5.78,5.81,3.54,Ideal,D,SI1,1,6,ok,ok,ok
2893,0.71,61.5,57,5.73,5.75,3.53,Ideal,G,VVS2,4,3,ok,ok,ok
2893,0.8,62.5,55,5.89,5.92,3.69,Ideal,G,SI2,4,7,ok,ok,ok
2894,0.81,62.2,57,5.96,6,3.72,Ideal,G,SI2,4,7,ok,ok,ok
2895,0.7,62.1,53,5.71,5.75,3.56,Ideal,G,VVS2,4,3,ok,ok,ok
2896,0.79,61.5,56,5.91,5.96,3.65,Ideal,D,SI1,1,6,ok,ok,ok
2896,0.77,62.1,56,5.83,5.89,3.64,Ideal,D,SI2,1,7,ok,ok,ok
2896,1.01,61.5,57,6.46,6.45,3.97,Ideal,I,I1,6,8,ok,ok,ok
2897,0.54,61.4,52,5.3,5.34,3.26,Ideal,D,VVS2,1,3,ok,ok,ok
2898,0.75,62.3,55,5.83,5.8,3.62,Ideal,D,SI1,1,6,ok,ok,ok
2898,0.77,62.6,57,5.92,5.81,3.67,Ideal,D,SI1,1,6,ok,ok,ok
2898,0.79,61.1,57,5.98,5.93,3.64,Ideal,G,SI1,4,6,ok,ok,ok
2898,0.79,62.3,57,5.9,5.85,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2898,0.79,62.3,57,5.9,5.85,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2898,0.79,62.3,57,5.9,5.85,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2898,0.79,62.3,57,5.9,5.85,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2898,0.79,62.3,57,5.9,5.85,3.66,Ideal,G,SI1,4,6,ok,ok,ok
2902,0.75,61.6,55,5.82,5.86,3.6,Ideal,G,SI1,4,6,ok,ok,ok
2903,0.75,62.3,57,5.83,5.8,3.62,Ideal,D,SI1,1,6,ok,ok,ok
2903,0.72,61.9,55,5.78,5.75,3.57,Ideal,D,SI1,1,6,ok,ok,ok
2906,0.8,62.2,58,5.92,5.95,3.69,Ideal,I,VS1,6,4,ok,ok,ok
2907,0.79,60.3,60,5.98,6.02,3.62,Ideal,G,SI1,4,6,ok,ok,ok
2908,0.73,61.5,55,5.8,5.84,3.58,Ideal,I,VS1,6,4,ok,ok,ok
2909,0.9,61.9,57,6.19,6.13,3.81,Ideal,I,SI2,6,7,ok,ok,ok
2911,0.71,60.6,56,5.76,5.8,3.5,Ideal,G,VS2,4,5,ok,ok,ok
2913,0.71,61.7,57,5.7,5.75,3.53,Ideal,D,SI1,1,6,ok,ok,ok
2913,0.85,62,57,6.1,6.02,3.76,Ideal,G,SI2,4,7,ok,ok,ok
2917,0.93,62,57,6.22,6.26,3.87,Ideal,I,SI1,6,6,ok,ok,ok
2918,0.72,61.8,55,5.75,5.79,3.56,Ideal,I,VS2,6,5,ok,ok,ok
2919,0.73,61.9,55,5.83,5.77,3.59,Ideal,G,VVS2,4,3,ok,ok,ok
2922,0.77,60.6,56,5.95,5.9,3.59,Ideal,D,SI2,1,7,ok,ok,ok
2923,0.77,60.2,56,5.98,6.04,3.62,Ideal,D,SI2,1,7,ok,ok,ok
2924,0.7,61.5,56,5.71,5.75,3.52,Ideal,I,VS1,6,4,ok,ok,ok
2925,0.71,61.5,56,5.74,5.77,3.54,Ideal,I,IF,6,1,ok,ok,ok
2925,1.02,61.7,56,6.49,6.44,3.99,Ideal,I,I1,6,8,ok,ok,ok
2927,0.8,59.4,58,6.07,6.09,3.61,Ideal,I,SI1,6,6,ok,ok,ok
2929,0.7,61.8,57,5.68,5.71,3.52,Ideal,G,VS2,4,5,ok,ok,ok
2930,0.71,62.7,57,5.69,5.73,3.58,Ideal,G,VS1,4,4,ok,ok,ok
2930,0.71,62.6,57,5.67,5.7,3.56,Ideal,G,VS1,4,4,ok,ok,ok
2930,0.71,61.7,57,5.75,5.7,3.53,Ideal,G,VVS1,4,2,ok,ok,ok
2934,0.71,62,54,5.77,5.74,3.57,Ideal,D,SI2,1,7,ok,ok,ok
2936,0.7,62.6,54,5.69,5.72,3.57,Ideal,D,SI2,1,7,ok,ok,ok
2939,0.75,60.6,55,5.93,5.91,3.59,Ideal,G,VS2,4,5,ok,ok,ok
2939,0.81,61.8,56,6.02,5.99,3.71,Ideal,I,VS2,6,5,ok,ok,ok
2943,0.73,61.4,56,5.82,5.78,3.56,Ideal,D,SI1,1,6,ok,ok,ok
2944,0.79,61.6,55,5.96,5.98,3.68,Ideal,G,SI1,4,6,ok,ok,ok
2946,0.77,61.5,56,5.9,5.93,3.64,Ideal,I,SI1,6,6,ok,ok,ok
2947,0.74,62,56,5.79,5.82,3.6,Ideal,I,VS1,6,4,ok,ok,ok
2947,0.74,61.1,57,5.83,5.86,3.57,Ideal,I,VS1,6,4,ok,ok,ok
2947,0.73,61.2,57,5.79,5.81,3.55,Ideal,D,SI1,1,6,ok,ok,ok
2948,0.73,61.7,55,5.8,5.84,3.59,Ideal,G,VS1,4,4,ok,ok,ok
2948,0.9,62,56,6.2,6.16,3.83,Ideal,I,SI2,6,7,ok,ok,ok
2949,0.77,62.6,57,5.81,5.92,3.67,Ideal,D,SI1,1,6,ok,ok,ok
2950,0.71,62.4,57,5.68,5.73,3.56,Ideal,G,VS1,4,4,ok,ok,ok
2952,0.72,61.5,55,5.76,5.79,3.55,Ideal,G,VS2,4,5,ok,ok,ok
2952,0.72,61.4,55,5.76,5.8,3.55,Ideal,G,VS2,4,5,ok,ok,ok
2952,0.74,62.1,53.9,5.79,5.81,3.6,Ideal,I,IF,6,1,ok,ok,ok
2954,0.72,61.9,55,5.75,5.78,3.57,Ideal,D,SI1,1,6,ok,ok,ok
2954,0.75,62.3,57,5.8,5.83,3.62,Ideal,D,SI1,1,6,ok,ok,ok
2954,0.76,61.7,54,5.88,5.92,3.64,Ideal,G,VS2,4,5,ok,ok,ok
2958,0.79,62.2,57,5.89,5.94,3.68,Ideal,I,VS1,6,4,ok,ok,ok
2959,0.82,61.8,55,6,6.03,3.72,Ideal,I,SI1,6,6,ok,ok,ok
2960,0.7,61.3,57,5.72,5.76,3.52,Ideal,D,VS2,1,5,ok,ok,ok
2960,0.72,61.3,56,5.77,5.81,3.55,Ideal,G,VS2,4,5,ok,ok,ok
2960,0.64,61.7,58,5.52,5.56,3.42,Ideal,G,IF,4,1,ok,ok,ok
2960,0.74,61.8,55,5.85,5.8,3.6,Ideal,G,VS1,4,4,ok,ok,ok
2962,0.63,62.6,56,5.47,5.49,3.43,Ideal,D,VVS2,1,3,ok,ok,ok
2962,0.71,62.2,56,5.69,5.72,3.55,Ideal,G,VS1,4,4,ok,ok,ok
2965,0.71,61.8,56,5.68,5.72,3.52,Ideal,I,VS1,6,4,ok,ok,ok
2965,0.71,61.6,56,5.71,5.75,3.53,Ideal,I,VS1,6,4,ok,ok,ok
2965,0.71,61.3,57,5.73,5.76,3.52,Ideal,I,VS1,6,4,ok,ok,ok
2965,0.71,61.5,56,5.72,5.76,3.52,Ideal,I,VS1,6,4,ok,ok,ok
2965,0.7,61.7,55,5.7,5.73,3.53,Ideal,G,SI1,4,6,ok,ok,ok
2965,0.7,60.9,56,5.73,5.79,3.51,Ideal,G,SI1,4,6,ok,ok,ok
2966,0.7,61.8,56,5.69,5.73,3.53,Ideal,I,VVS1,6,2,ok,ok,ok
2968,0.9,62.4,57,6.16,6.13,3.84,Ideal,G,SI2,4,7,ok,ok,ok
2969,0.8,61.2,57,6.02,6.07,3.7,Ideal,G,VS2,4,5,ok,ok,ok
2972,0.76,59.4,57,5.99,6.03,3.57,Ideal,G,VS1,4,4,ok,ok,ok
2972,0.7,61.7,56,5.64,5.71,3.5,Ideal,G,VS1,4,4,ok,ok,ok
2973,0.75,62.3,57,5.83,5.86,3.64,Ideal,G,VS1,4,4,ok,ok,ok
2973,0.77,60.6,56,5.9,5.95,3.59,Ideal,D,SI2,1,7,ok,ok,ok
2974,0.71,59.5,57,5.81,5.8,3.46,Ideal,G,VS2,4,5,ok,ok,ok
2976,0.91,63,54,6.17,6.12,3.86,Ideal,I,SI2,6,7,ok,ok,ok
2978,0.71,62.5,58,5.7,5.73,3.57,Ideal,G,VVS2,4,3,ok,ok,ok
2981,0.91,61.6,57,6.24,6.23,3.84,Ideal,I,SI2,6,7,ok,ok,ok
2982,0.71,61.7,57,5.7,5.75,3.53,Ideal,G,VVS1,4,2,ok,ok,ok
2986,0.8,61.9,54.1,5.92,5.98,3.69,Ideal,I,VS1,6,4,ok,ok,ok
2986,0.82,61.6,57,6,6.05,3.71,Ideal,I,VS1,6,4,ok,ok,ok
2986,0.84,62,56,6.02,6.05,3.74,Ideal,G,SI2,4,7,ok,ok,ok
2987,0.7,61.3,59,5.68,5.7,3.49,Ideal,G,VS1,4,4,ok,ok,ok
2987,0.74,61.5,56,5.8,5.84,3.58,Ideal,D,SI1,1,6,ok,ok,ok
2988,0.76,61.6,55,5.92,5.89,3.64,Ideal,I,IF,6,1,ok,ok,ok
2991,0.75,60.6,55,5.91,5.93,3.59,Ideal,G,VS2,4,5,ok,ok,ok
2991,0.7,60.3,60,5.71,5.76,3.46,Ideal,D,VS2,1,5,ok,ok,ok
2993,0.72,61.1,59,5.76,5.8,3.53,Ideal,D,SI1,1,6,ok,ok,ok
2995,0.73,61.4,56,5.78,5.82,3.56,Ideal,D,SI1,1,6,ok,ok,ok
2995,0.7,60.9,56,5.76,5.8,3.52,Ideal,G,VS1,4,4,ok,ok,ok
2996,0.77,61.4,56,5.9,5.93,3.63,Ideal,D,SI1,1,6,ok,ok,ok
2997,0.74,61.9,55,5.8,5.83,3.6,Ideal,I,VS2,6,5,ok,ok,ok
2998,0.7,62.8,57,5.69,5.75,3.59,Ideal,D,VS2,1,5,ok,ok,ok
3000,0.77,62.5,56,5.87,5.91,3.68,Ideal,E,SI1,2,6,ok,ok,no
3001,0.9,62,56,6.16,6.2,3.83,Ideal,I,SI2,6,7,ok,ok,no
3001,0.6,62.1,56,5.42,5.43,3.37,Ideal,G,VVS1,4,2,ok,ok,no
3003,0.76,61.5,56,5.89,5.91,3.63,Ideal,E,SI1,2,6,ok,ok,no
3004,0.81,61.8,55,6.04,6,3.72,Ideal,F,SI1,3,6,ok,ok,no
3004,0.78,60.6,57,5.95,5.97,3.61,Ideal,G,SI1,4,6,ok,ok,no
3004,0.72,62.3,56,5.77,5.79,3.6,Ideal,F,SI1,3,6,ok,ok,no
3005,0.55,61.2,54,5.3,5.35,3.26,Ideal,F,VVS1,3,2,ok,ok,no
3005,0.72,60.4,56,5.8,5.86,3.52,Ideal,I,VS1,6,4,ok,ok,no
3007,0.71,61.3,55,5.73,5.79,3.53,Ideal,G,SI1,4,6,ok,ok,no
3007,0.71,61.6,55,5.72,5.78,3.54,Ideal,G,SI1,4,6,ok,ok,no
3007,0.71,61.9,56,5.73,5.76,3.55,Ideal,G,SI1,4,6,ok,ok,no
3007,0.71,61.6,57,5.73,5.76,3.54,Ideal,G,SI1,4,6,ok,ok,no
3007,0.71,61.4,56,5.72,5.77,3.53,Ideal,G,SI1,4,6,ok,ok,no
3007,0.76,61.2,57,5.88,5.91,3.61,Ideal,D,SI1,1,6,ok,ok,no
3008,0.7,61.3,57,5.7,5.76,3.51,Ideal,F,VS2,3,5,ok,ok,no
3010,0.83,62.1,57,6,6.02,3.73,Ideal,F,SI1,3,6,ok,ok,no
3010,0.8,60.7,59,5.98,6.02,3.64,Ideal,I,VS1,6,4,ok,ok,no
3011,0.8,62.2,57,5.89,5.85,3.65,Ideal,D,SI1,1,6,ok,ok,no
3011,0.7,61.9,55,5.7,5.74,3.54,Ideal,F,VS2,3,5,ok,ok,no
3011,0.7,61.8,57,5.67,5.75,3.53,Ideal,F,VS2,3,5,ok,ok,no
3011,0.7,62.7,55,5.66,5.69,3.56,Ideal,F,VS2,3,5,ok,ok,no
3011,0.7,61.4,58,5.7,5.73,3.51,Ideal,F,VS2,3,5,ok,ok,no
3011,0.77,62.3,55,5.9,5.85,3.66,Ideal,D,SI2,1,7,ok,ok,no
