price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod,
2776,0.54,61.6,56,5.25,5.27,3.24,Ideal,E,VVS2,2,3,0.006023915
2776,0.54,61.5,57,5.24,5.26,3.23,Ideal,E,VVS2,2,3,0.006065606
2776,0.72,61.8,56,5.72,5.75,3.55,Ideal,G,SI1,4,6,0.006166522
2776,0.72,60.7,56,5.79,5.82,3.53,Ideal,G,SI1,4,6,0.006052799
2776,0.71,60.5,56,5.8,5.76,3.5,Ideal,G,SI1,4,6,0.006072113
2777,0.7,62.1,55,5.7,5.67,3.53,Ideal,E,VS2,2,5,0.006135718
2777,0.7,61.4,57,5.76,5.7,3.52,Ideal,E,SI1,2,6,0.006057006
2778,0.52,61.3,55,5.19,5.22,3.19,Ideal,F,VVS1,3,2,0.006016928
2779,0.74,61.7,56,5.84,5.8,3.59,Ideal,E,SI1,2,6,0.006085502
2780,0.71,62.1,54,5.68,5.72,3.54,Ideal,F,VS2,3,5,0.006173205
2780,0.74,61.5,55,5.81,5.86,3.59,Ideal,G,VS1,4,4,0.006054294
2780,0.7,61.4,59,5.64,5.73,3.49,Ideal,G,VS1,4,4,0.006206387
2781,0.77,62.2,56,5.83,5.88,3.64,Ideal,H,SI1,5,6,0.006170828
2781,0.78,61.2,56,5.92,5.99,3.64,Ideal,H,SI1,5,6,0.00604289
2782,0.76,61.3,56,5.9,5.94,3.63,Ideal,G,VS2,4,5,0.005974045
2782,0.72,60.8,57,5.76,5.75,3.5,Ideal,D,SI1,1,6,0.00621118
2783,0.52,62.2,55,5.14,5.18,3.21,Ideal,F,IF,3,1,0.006084227
2787,0.51,62,57,5.11,5.15,3.18,Ideal,F,VVS1,3,2,0.006094175
2787,0.64,61.5,56,5.54,5.55,3.41,Ideal,D,VS1,1,4,0.006104117
2788,0.76,61.8,56,5.85,5.87,3.62,Ideal,I,VVS2,6,3,0.006113798
2788,0.71,62.5,55,5.71,5.65,3.55,Ideal,F,SI1,3,6,0.00619934
2789,0.81,61.6,56,5.97,6.01,3.69,Ideal,G,SI2,4,7,0.006118005
2789,0.7,61.6,56,5.72,5.75,3.53,Ideal,E,SI1,2,6,0.006029197
2789,0.55,60.9,57,5.28,5.3,3.22,Ideal,G,IF,4,1,0.006103754
2790,0.64,61.3,56,5.54,5.58,3.41,Ideal,G,IF,4,1,0.006071299
2790,0.83,62.3,55,6.02,6.05,3.76,Ideal,F,SI2,3,7,0.006060918
2791,0.73,62.2,56,5.74,5.78,3.58,Ideal,E,SI1,2,6,0.006146107
2792,0.71,61.3,55,5.72,5.77,3.52,Ideal,E,SI1,2,6,0.006111444
2792,0.7,62.2,56,5.73,5.68,3.55,Ideal,F,VS1,3,4,0.006058523
2793,0.76,61.3,56,5.87,5.91,3.61,Ideal,I,VS2,6,5,0.006068492
2793,0.73,62.7,55,5.72,5.76,3.6,Ideal,H,VS2,5,5,0.006154629
2795,0.81,62.6,55,5.92,5.96,3.72,Ideal,F,SI2,3,7,0.006171264
2797,0.57,61.9,55,5.34,5.35,3.31,Ideal,F,VVS2,3,3,0.006027703
2797,0.51,61.7,56,5.12,5.16,3.17,Ideal,D,VVS1,1,2,0.006089635
2797,0.72,61.9,58,5.72,5.75,3.55,Ideal,G,VS2,4,5,0.006166522
2797,0.74,61.8,58,5.77,5.81,3.58,Ideal,H,VS1,5,4,0.006165904
2797,0.74,61.6,56,5.81,5.82,3.58,Ideal,H,VS1,5,4,0.006112932
2798,0.77,61.5,59,5.87,5.91,3.62,Ideal,I,VS1,6,4,0.006131357
2799,0.82,62.4,54,5.97,6.02,3.74,Ideal,F,SI2,3,7,0.006100584
2799,0.78,61.9,57,5.91,5.86,3.64,Ideal,D,SI1,1,6,0.006187399
2800,0.83,62.3,57,5.99,6.08,3.76,Ideal,G,SI1,4,6,0.006061217
2800,0.83,61.8,57,6.03,6.07,3.74,Ideal,G,SI1,4,6,0.00606318
2800,0.79,61.8,59,5.92,5.95,3.67,Ideal,I,VS1,6,4,0.006111142
2800,0.61,62.3,56,5.43,5.45,3.39,Ideal,G,IF,4,1,0.006080423
2801,0.96,60.7,55,6.37,6.41,3.88,Ideal,F,I1,3,8,0.006059573
2801,0.73,62.5,55,5.8,5.76,3.61,Ideal,F,VS2,3,5,0.006052923
2801,0.75,60.4,57,5.93,5.96,3.59,Ideal,H,SI1,5,6,0.005911067
2802,0.53,61.9,54,5.22,5.25,3.24,Ideal,F,IF,3,1,0.005968993
2803,0.71,61.3,56,5.75,5.71,3.51,Ideal,G,VS2,4,5,0.006160944
2803,0.73,60.6,54,5.84,5.89,3.55,Ideal,E,SI1,2,6,0.005978144
2803,0.91,62.2,57,6.21,6.15,3.85,Ideal,D,SI2,1,7,0.006188907
2804,0.72,61.7,57,5.74,5.77,3.55,Ideal,F,VS1,3,4,0.006123736
2804,0.82,61.5,56,6.01,6.08,3.72,Ideal,H,VS2,5,5,0.006032438
2804,0.7,61,59,5.68,5.7,3.47,Ideal,D,SI1,1,6,0.006230822
2804,0.72,62.2,56,5.74,5.77,3.58,Ideal,D,SI1,1,6,0.006072419
2804,0.72,61.5,54,5.77,5.8,3.56,Ideal,D,SI1,1,6,0.006043363
2805,0.73,61.8,58,5.77,5.81,3.58,Ideal,E,SI2,2,7,0.006082581
2805,0.72,62.8,56,5.74,5.7,3.59,Ideal,G,VS2,4,5,0.006129871
2806,0.7,61.6,55,5.72,5.74,3.53,Ideal,F,SI1,3,6,0.006039701
2808,0.58,60.9,56,5.41,5.43,3.3,Ideal,E,VVS2,2,3,0.005982972
2810,0.74,61.7,55,5.81,5.85,3.6,Ideal,D,SI2,1,7,0.006047797
554,0.32,62.4,57,4.37,4.35,2.72,Ideal,I,SI1,6,6,0.006188856
554,0.32,60.7,57,4.47,4.42,2.7,Ideal,I,SI1,6,6,0.00599869
554,0.3,62.9,57,4.27,4.22,2.67,Ideal,H,SI1,5,6,0.006235477
554,0.33,61.4,56,4.85,4.79,2.95,Ideal,H,SI2,5,7,0.004815204
555,0.34,61.5,56,4.47,4.5,2.76,Ideal,H,VS2,5,5,0.006124206
555,0.34,60.4,57,4.54,4.57,2.75,Ideal,H,VS2,5,5,0.005959011
555,0.34,61.8,55,4.48,4.52,2.78,Ideal,I,VS1,6,4,0.006039732
555,0.34,62,56,4.5,4.53,2.8,Ideal,I,VS1,6,4,0.005956761
555,0.3,62.3,56,4.29,4.31,2.68,Ideal,G,VS1,4,4,0.006054132
555,0.29,61.6,56,4.26,4.31,2.64,Ideal,F,VS1,3,4,0.005982837
555,0.35,60.6,56,4.56,4.58,2.77,Ideal,G,SI1,4,6,0.006050036
556,0.36,61.9,56,4.54,4.57,2.82,Ideal,I,VS2,6,5,0.006152921
556,0.3,62,56,4.28,4.3,2.66,Ideal,G,VS2,4,5,0.006128122
556,0.26,61.5,57,4.09,4.12,2.52,Ideal,E,VS1,2,4,0.006122831
2812,0.71,62.4,57,5.69,5.72,3.56,Ideal,D,SI1,1,6,0.006127736
2812,0.51,62,57,5.15,5.11,3.18,Ideal,F,VVS1,3,2,0.006094175
2814,0.76,61.7,57,5.88,5.85,3.62,Ideal,E,SI1,2,6,0.0061034
2815,0.7,60.4,56,5.75,5.81,3.49,Ideal,H,SI1,5,6,0.006003833
2815,0.7,61.4,56,5.7,5.76,3.52,Ideal,H,SI1,5,6,0.006057006
2815,0.7,61.5,55,5.73,5.79,3.54,Ideal,H,SI1,5,6,0.00596021
2815,0.7,61.4,56,5.72,5.77,3.53,Ideal,H,SI1,5,6,0.006008298
2816,0.61,60.1,57,5.52,5.54,3.32,Ideal,G,VVS2,4,3,0.00600818
2816,0.87,62.7,56,6.16,6.13,3.85,Ideal,H,SI2,5,7,0.005984355
2816,0.83,62.5,55,6.04,6,3.76,Ideal,H,SI1,5,6,0.006091189
2817,0.71,60.2,56,5.84,5.89,3.53,Ideal,I,VVS2,6,3,0.005847302
2817,0.71,62.7,57,5.66,5.64,3.54,Ideal,E,VS2,2,5,0.006282891
2817,0.63,61.5,56,5.48,5.52,3.38,Ideal,F,VVS2,3,3,0.006161752
2817,0.71,61.3,55,5.77,5.72,3.52,Ideal,E,SI1,2,6,0.006111444
2817,0.9,62.8,55,6.2,6.16,3.88,Ideal,J,VS2,7,5,0.006073491
2818,0.8,61,57,6.07,6,3.68,Ideal,H,SI1,5,6,0.005969009
2818,0.7,62.9,57,5.66,5.61,3.54,Ideal,E,VS1,2,4,0.006227525
2819,0.72,62.3,56,5.73,5.77,3.58,Ideal,H,VS1,5,4,0.006083017
2820,0.71,62.9,58,5.66,5.69,3.57,Ideal,G,VS1,4,4,0.006175348
2821,0.75,62,57,5.8,5.78,3.59,Ideal,E,SI1,2,6,0.006231764
2821,0.53,61.9,55,5.2,5.21,3.22,Ideal,E,VVS1,2,2,0.006075457
2822,0.6,62,55,5.37,5.4,3.34,Ideal,F,VVS2,3,3,0.006194935
2822,0.74,60.8,57,5.85,5.89,3.57,Ideal,I,VVS1,6,2,0.006015786
2822,0.73,62.1,55,5.75,5.78,3.58,Ideal,F,SI1,3,6,0.006135418
2822,0.7,60.7,56,5.75,5.72,3.48,Ideal,D,SI1,1,6,0.006115823
2822,0.71,60.2,56,5.86,5.83,3.52,Ideal,D,SI1,1,6,0.005904043
2822,0.7,59.7,58,5.82,5.77,3.46,Ideal,D,SI1,1,6,0.00602453
2822,0.7,62.5,57,5.62,5.59,3.51,Ideal,D,SI1,1,6,0.006348086
2822,0.7,61.8,56,5.73,5.63,3.51,Ideal,D,SI1,1,6,0.006181984
2822,0.7,61.4,54,5.75,5.71,3.52,Ideal,D,SI1,1,6,0.006056914
2823,0.61,61.3,54,5.51,5.59,3.4,Ideal,E,VVS2,2,3,0.005824887
2823,0.71,60.5,56,5.77,5.73,3.47,Ideal,E,SI1,2,6,0.006188686
2824,0.77,62.1,57,5.84,5.86,3.63,Ideal,I,VVS2,6,3,0.006198315
2824,0.82,62.4,54,6.02,5.97,3.74,Ideal,F,SI2,3,7,0.006100584
2826,0.96,60.7,55,6.41,6.37,3.88,Ideal,F,I1,3,8,0.006059573
2827,0.7,61.6,57,5.69,5.74,3.52,Ideal,H,VVS1,5,2,0.006088793
2827,0.7,62.3,55,5.66,5.7,3.54,Ideal,H,VVS1,5,2,0.006129196
2828,0.7,60.6,57,5.74,5.77,3.49,Ideal,D,SI2,1,7,0.006055987
2829,0.59,62,56,5.36,5.38,3.33,Ideal,E,VVS1,2,2,0.006144134
2829,0.72,61.7,57,5.77,5.74,3.55,Ideal,F,VS1,3,4,0.006123736
2830,0.97,60.7,56,6.41,6.43,3.9,Ideal,F,I1,3,8,0.006034456
2830,0.53,60.9,57,5.23,5.29,3.19,Ideal,F,VVS1,3,2,0.006005205
2830,0.53,61.8,57,5.16,5.19,3.2,Ideal,F,VVS1,3,2,0.00618456
2830,0.8,62.1,54.4,5.94,5.99,3.7,Ideal,I,VS2,6,5,0.006076801
2831,0.72,62.3,57,5.7,5.76,3.57,Ideal,E,SI1,2,6,0.006142808
2831,0.75,61.4,57,5.82,5.87,3.59,Ideal,E,SI1,2,6,0.00611513
2831,0.79,61.8,56,5.93,5.91,3.66,Ideal,G,SI1,4,6,0.00615891
2832,0.82,62.5,57,5.91,5.97,3.71,Ideal,H,SI1,5,6,0.006264381
2833,0.7,61,57,5.74,5.76,3.51,Ideal,D,VS2,1,5,0.006031934
2833,0.61,61.7,55,5.45,5.48,3.37,Ideal,F,VVS2,3,3,0.006060701
2833,0.85,62.5,57,6.02,6.07,3.78,Ideal,H,SI2,5,7,0.00615378
2833,0.7,60.7,57,5.73,5.75,3.49,Ideal,F,SI1,3,6,0.006087657
2834,0.8,62.2,56,5.94,5.87,3.67,Ideal,G,VS2,4,5,0.006251718
2834,0.8,62.8,57,5.91,5.87,3.7,Ideal,H,VS2,5,5,0.006232506
2834,0.53,61.4,57,5.2,5.23,3.2,Ideal,F,VVS1,3,2,0.00609005
2834,0.78,61.8,55,5.92,5.95,3.67,Ideal,I,VS2,6,5,0.006033785
2834,0.77,60.7,55,6.01,5.95,3.63,Ideal,E,SI2,2,7,0.005931884
2835,0.73,61.2,56,5.89,5.81,3.58,Ideal,F,VS1,3,4,0.005958657
2835,0.63,61.9,57,5.47,5.51,3.4,Ideal,F,VVS2,3,3,0.006147842
2835,0.7,61.5,54,5.7,5.75,3.52,Ideal,E,VS2,2,5,0.00606754
2835,0.72,62.8,57,5.71,5.73,3.59,Ideal,E,VS2,2,5,0.006129814
2835,0.72,61,57,5.78,5.8,3.53,Ideal,E,SI1,2,6,0.006084179
2837,0.7,61.8,56,5.74,5.69,3.53,Ideal,E,VS1,2,4,0.006071544
2838,0.71,59.8,53,5.86,5.82,3.49,Ideal,F,SI1,3,6,0.005965026
2839,0.71,61.5,57,5.74,5.71,3.52,Ideal,F,VS1,3,4,0.006154144
2839,0.7,61.6,54,5.75,5.72,3.53,Ideal,F,VS1,3,4,0.006029197
2839,0.71,62.1,55,5.82,5.68,3.57,Ideal,F,VS1,3,4,0.006016152
2839,0.7,62.4,53,5.73,5.71,3.57,Ideal,F,VS1,3,4,0.005992928
2839,0.73,61.8,54,5.8,5.82,3.59,Ideal,G,VS2,4,5,0.006023896
2839,0.7,62.1,54,5.69,5.72,3.54,Ideal,E,VS2,2,5,0.006075562
2839,0.7,61.3,57,5.71,5.74,3.51,Ideal,G,VS1,4,4,0.006084753
2840,0.7,61,56,5.75,5.8,3.52,Ideal,F,SI1,3,6,0.005962928
2840,0.92,61.9,56,6.27,6.2,3.86,Ideal,D,SI2,1,7,0.006131141
2841,0.82,61.7,53,6,6.12,3.74,Ideal,F,SI2,3,7,0.005970897
2841,0.82,62.3,56,5.96,6.02,3.73,Ideal,F,SI2,3,7,0.006127203
2841,0.52,61.2,56,5.19,5.21,3.18,Ideal,F,VVS1,3,2,0.006047434
2841,0.73,61.4,57,5.76,5.8,3.55,Ideal,D,SI1,1,6,0.006155226
2842,0.8,62.6,54,5.92,5.96,3.72,Ideal,I,VS1,6,4,0.006095075
2843,0.73,61.3,57,5.81,5.84,3.57,Ideal,G,VVS2,4,3,0.006026507
2843,0.72,62,57,5.71,5.74,3.55,Ideal,E,VS2,2,5,0.006188083
2843,0.81,62.1,57,5.91,5.95,3.68,Ideal,F,SI2,3,7,0.006259401
2843,0.71,60.7,57,5.81,5.78,3.52,Ideal,G,VVS2,4,3,0.006006365
2844,1.01,61.5,57,6.45,6.46,3.97,Ideal,I,I1,6,8,0.006105745
2844,0.79,62.5,57,5.91,5.93,3.7,Ideal,H,VS2,5,5,0.006092327
2846,0.79,61.5,56,5.96,5.91,3.65,Ideal,D,SI1,1,6,0.006144697
2846,0.73,61.6,56,5.79,5.84,3.58,Ideal,H,VVS2,5,3,0.006030432
2846,0.73,59.1,59,5.92,5.95,3.51,Ideal,E,SI1,2,6,0.005904418
2846,0.7,61.6,57,5.71,5.76,3.53,Ideal,E,SI1,2,6,0.00602927
2847,0.72,60.3,57,5.83,5.85,3.52,Ideal,E,SI1,2,6,0.005997433
2848,0.54,61.5,55,5.25,5.29,3.24,Ideal,D,VVS2,1,3,0.00600114
2850,0.7,60.8,59,5.69,5.79,3.49,Ideal,F,VS2,3,5,0.0060881
2850,0.75,61.5,56,5.83,5.87,3.6,Ideal,J,SI1,7,6,0.006087684
2851,0.66,62.1,56,5.54,5.57,3.45,Ideal,D,VS1,1,4,0.006199546
2851,0.74,61,57,5.85,5.81,3.56,Ideal,F,SI1,3,6,0.00611575
2852,0.78,61.5,57,5.88,5.92,3.63,Ideal,I,VS1,6,4,0.006172896
2852,0.74,61.3,55,5.85,5.86,3.59,Ideal,G,SI1,4,6,0.006012897
2852,0.73,62.7,55,5.7,5.79,3.6,Ideal,E,SI1,2,6,0.006144223
2853,0.79,62.8,57,5.9,5.85,3.69,Ideal,D,SI2,1,7,0.006202872
2856,1.02,61.6,55,6.49,6.43,3.98,Ideal,H,SI2,5,7,0.006141316
2856,0.6,60.8,57,5.44,5.49,3.32,Ideal,F,VVS2,3,3,0.006051206
2856,0.8,61.6,56,5.97,6.01,3.69,Ideal,G,SI2,4,7,0.006042474
2856,0.97,60.7,56,6.43,6.41,3.9,Ideal,F,I1,3,8,0.006034456
556,0.26,62.3,57,4.05,4.08,2.53,Ideal,E,VS1,2,4,0.006219245
556,0.26,62.1,56,4.09,4.12,2.55,Ideal,E,VS1,2,4,0.006050798
556,0.36,61.9,55,4.57,4.59,2.83,Ideal,H,SI1,5,6,0.006064391
556,0.34,62.2,54,4.47,4.5,2.79,Ideal,E,SI1,2,6,0.006058354
557,0.31,61.6,55,4.36,4.41,2.7,Ideal,I,VVS1,6,2,0.005971354
557,0.31,61.3,56,4.36,4.38,2.68,Ideal,I,VVS1,6,2,0.006057122
557,0.31,62.3,54,4.37,4.4,2.73,Ideal,I,VVS1,6,2,0.005905612
557,0.31,62,54,4.37,4.4,2.72,Ideal,I,VVS1,6,2,0.005927324
557,0.31,62.7,53,4.33,4.35,2.72,Ideal,I,VVS1,6,2,0.00605084
557,0.31,62.2,53,4.36,4.38,2.72,Ideal,I,VVS1,6,2,0.005968046
557,0.31,62.2,53.6,4.32,4.35,2.7,Ideal,G,VS2,4,5,0.006109771
557,0.31,61.6,54.8,4.35,4.37,2.69,Ideal,H,VS1,5,4,0.006062318
557,0.31,61.8,54.2,4.33,4.37,2.69,Ideal,H,VS1,5,4,0.00609032
557,0.33,61.9,56,4.45,4.41,2.74,Ideal,G,SI2,4,7,0.006137122
557,0.33,62.1,55,4.44,4.41,2.75,Ideal,J,VS1,7,4,0.006128578
557,0.33,63,57,4.39,4.37,2.76,Ideal,I,SI1,6,6,0.006232451
2857,0.72,62.3,57,5.76,5.7,3.57,Ideal,E,SI1,2,6,0.006142808
2858,0.7,62.1,56,5.63,5.71,3.52,Ideal,G,VVS2,4,3,0.006186014
2858,0.76,62.7,54,5.88,5.83,3.67,Ideal,E,SI1,2,6,0.0060409
2858,0.73,61.5,56,5.84,5.8,3.58,Ideal,D,SI1,1,6,0.006020035
2859,0.7,61,57,5.76,5.74,3.51,Ideal,D,VS2,1,5,0.006031934
2859,0.71,61.5,56,5.74,5.78,3.54,Ideal,G,VS1,4,4,0.006045265
2860,0.6,61.9,54.9,5.41,5.44,3.35,Ideal,E,VVS2,2,3,0.006085696
2860,0.53,61.4,57,5.23,5.2,3.2,Ideal,F,VVS1,3,2,0.00609005
2861,0.62,61.6,56,5.45,5.48,3.37,Ideal,G,VVS2,4,3,0.006160057
2861,0.62,61.6,56,5.48,5.51,3.38,Ideal,G,VVS2,4,3,0.006074952
2862,0.7,61.1,57,5.71,5.74,3.5,Ideal,H,VS2,5,5,0.006102138
2863,0.71,60.8,56,5.8,5.77,3.52,Ideal,D,SI1,1,6,0.006027148
2863,0.71,61.7,57,5.75,5.7,3.53,Ideal,D,SI1,1,6,0.006136785
2863,0.72,59.5,57,5.91,5.86,3.5,Ideal,F,VS2,3,5,0.005939903
2863,0.71,61,55,5.79,5.75,3.52,Ideal,E,VS2,2,5,0.006058558
2864,0.81,60.3,57,6.07,6.04,3.65,Ideal,E,SI2,2,7,0.006052942
2866,0.71,62.2,55,5.74,5.7,3.56,Ideal,E,VS1,2,4,0.006095672
2866,0.7,62.3,58,5.66,5.7,3.54,Ideal,H,VVS1,5,2,0.006129196
2867,0.7,62.4,57,5.68,5.61,3.52,Ideal,D,VS2,1,5,0.006240856
2867,0.71,60.4,57,5.78,5.81,3.5,Ideal,H,VVS1,5,2,0.006040687
2867,0.82,62.3,56,5.99,5.95,3.72,Ideal,F,SI2,3,7,0.006184821
2867,0.52,61.2,56,5.21,5.19,3.18,Ideal,F,VVS1,3,2,0.006047434
2867,0.82,61.7,53,6.12,6,3.74,Ideal,F,SI2,3,7,0.005970897
2867,0.82,62.3,56,6.02,5.96,3.73,Ideal,F,SI2,3,7,0.006127203
2867,0.8,61.3,57,5.96,5.91,3.64,Ideal,G,SI1,4,6,0.006239573
2868,0.72,62.4,55,5.72,5.75,3.58,Ideal,I,VS1,6,4,0.006114847
2868,0.62,60.5,57,5.52,5.56,3.35,Ideal,G,IF,4,1,0.006030218
2869,0.72,60.8,55,5.77,5.84,3.53,Ideal,E,SI1,2,6,0.006052978
2869,0.62,61.8,56,5.43,5.47,3.37,Ideal,G,IF,4,1,0.006194049
2869,0.73,61.3,57,5.84,5.81,3.57,Ideal,G,VVS2,4,3,0.006026507
2869,0.72,60.9,57,5.79,5.77,3.52,Ideal,H,VVS2,5,3,0.006122594
2870,0.83,62.2,57,6,6.05,3.75,Ideal,E,SI2,2,7,0.006097337
2870,0.8,62.5,57,5.94,5.9,3.7,Ideal,G,SI1,4,6,0.006169498
2870,0.74,62.1,56,5.77,5.83,3.6,Ideal,H,SI1,5,6,0.006110614
2870,0.72,61.5,56,5.72,5.79,3.54,Ideal,F,SI1,3,6,0.00614122
2870,0.82,59.5,57,6.12,6.09,3.63,Ideal,H,VS2,5,5,0.006060919
2871,0.75,61.8,55,5.83,5.85,3.61,Ideal,I,SI1,6,6,0.006091576
2871,0.79,62.6,55,5.91,5.95,3.71,Ideal,G,SI1,4,6,0.006055482
2872,1.02,61.7,56,6.44,6.49,3.99,Ideal,I,I1,6,8,0.006116412
2872,0.7,61.8,56,5.63,5.73,3.51,Ideal,D,SI1,1,6,0.006181984
2872,0.7,61.4,54,5.71,5.75,3.52,Ideal,D,SI1,1,6,0.006056914
2872,0.7,60.7,56,5.72,5.75,3.48,Ideal,D,SI1,1,6,0.006115823
2872,0.74,62.3,58,5.74,5.78,3.59,Ideal,E,SI1,2,6,0.006212945
2873,0.76,62.8,56,5.78,5.82,3.64,Ideal,E,SI2,2,7,0.006206709
2873,1,61.7,56,6.45,6.41,3.97,Ideal,I,SI2,6,7,0.006092447
2874,0.7,61,55,5.77,5.73,3.51,Ideal,F,VS1,3,4,0.006031988
2874,0.7,61.6,55,5.75,5.71,3.53,Ideal,F,VS1,3,4,0.006039756
2874,0.7,62.4,56,5.69,5.65,3.54,Ideal,F,VS1,3,4,0.006150835
2875,0.77,62.4,56,5.84,5.9,3.66,Ideal,H,SI1,5,6,0.006105831
2877,0.71,62.4,56,5.75,5.7,3.57,Ideal,E,VS1,2,4,0.006068026
2877,0.74,62.3,55,5.8,5.83,3.62,Ideal,G,VS2,4,5,0.006045422
2878,0.71,61.5,55,5.76,5.78,3.55,Ideal,I,VS2,6,5,0.006007305
2878,0.79,62.8,56,5.88,5.9,3.7,Ideal,F,SI1,3,6,0.006154546
2879,0.84,61,56,6.13,6.1,3.73,Ideal,G,SI2,4,7,0.006022546
2879,0.84,62.3,55,6.08,6.03,3.77,Ideal,G,SI2,4,7,0.006077389
2879,1.02,60.3,54,6.53,6.5,3.93,Ideal,J,SI2,7,7,0.006114783
2879,0.72,62,56,5.76,5.73,3.56,Ideal,F,VS1,3,4,0.006127811
2881,0.7,62,55,5.74,5.71,3.55,Ideal,H,VVS1,5,2,0.006016192
