price,carat,length,width,depth,cut
2818,0.7,5.66,5.61,3.54,Ideal
2819,0.72,5.73,5.77,3.58,Ideal
2820,0.71,5.66,5.69,3.57,Ideal
2821,0.75,5.8,5.78,3.59,Ideal
2821,0.53,5.2,5.21,3.22,Ideal
2822,0.6,5.37,5.4,3.34,Ideal
2822,0.74,5.85,5.89,3.57,Ideal
2822,0.73,5.75,5.78,3.58,Ideal
2822,0.7,5.75,5.72,3.48,Ideal
2822,0.71,5.86,5.83,3.52,Ideal
2822,0.7,5.82,5.77,3.46,Ideal
2822,0.7,5.62,5.59,3.51,Ideal
2822,0.7,5.73,5.63,3.51,Ideal
2822,0.7,5.75,5.71,3.52,Ideal
2823,0.61,5.51,5.59,3.4,Ideal
2823,0.71,5.77,5.73,3.47,Ideal
2824,0.77,5.84,5.86,3.63,Ideal
2824,0.82,6.02,5.97,3.74,Ideal
2826,0.96,6.41,6.37,3.88,Ideal
2827,0.7,5.69,5.74,3.52,Ideal
2827,0.7,5.66,5.7,3.54,Ideal
2828,0.7,5.74,5.77,3.49,Ideal
2829,0.59,5.36,5.38,3.33,Ideal
2829,0.72,5.77,5.74,3.55,Ideal
2830,0.97,6.41,6.43,3.9,Ideal
2830,0.53,5.23,5.29,3.19,Ideal
2830,0.53,5.16,5.19,3.2,Ideal
2830,0.8,5.94,5.99,3.7,Ideal
2831,0.72,5.7,5.76,3.57,Ideal
2831,0.75,5.82,5.87,3.59,Ideal
2831,0.79,5.93,5.91,3.66,Ideal
2832,0.82,5.91,5.97,3.71,Ideal
2833,0.7,5.74,5.76,3.51,Ideal
2833,0.61,5.45,5.48,3.37,Ideal
2833,0.85,6.02,6.07,3.78,Ideal
2833,0.7,5.73,5.75,3.49,Ideal
2834,0.8,5.94,5.87,3.67,Ideal
2834,0.8,5.91,5.87,3.7,Ideal
2834,0.53,5.2,5.23,3.2,Ideal
2834,0.78,5.92,5.95,3.67,Ideal
2834,0.77,6.01,5.95,3.63,Ideal
2835,0.73,5.89,5.81,3.58,Ideal
2835,0.63,5.47,5.51,3.4,Ideal
2835,0.7,5.7,5.75,3.52,Ideal
2835,0.72,5.71,5.73,3.59,Ideal
2835,0.72,5.78,5.8,3.53,Ideal
2837,0.7,5.74,5.69,3.53,Ideal
2838,0.71,5.86,5.82,3.49,Ideal
2839,0.71,5.74,5.71,3.52,Ideal
2839,0.7,5.75,5.72,3.53,Ideal
2839,0.71,5.82,5.68,3.57,Ideal
2839,0.7,5.73,5.71,3.57,Ideal
2839,0.73,5.8,5.82,3.59,Ideal
2839,0.7,5.69,5.72,3.54,Ideal
2839,0.7,5.71,5.74,3.51,Ideal
2840,0.7,5.75,5.8,3.52,Ideal
2840,0.92,6.27,6.2,3.86,Ideal
2841,0.82,6,6.12,3.74,Ideal
2841,0.82,5.96,6.02,3.73,Ideal
2841,0.52,5.19,5.21,3.18,Ideal
2841,0.73,5.76,5.8,3.55,Ideal
2842,0.8,5.92,5.96,3.72,Ideal
2843,0.73,5.81,5.84,3.57,Ideal
2843,0.72,5.71,5.74,3.55,Ideal
2843,0.81,5.91,5.95,3.68,Ideal
2843,0.71,5.81,5.78,3.52,Ideal
2844,1.01,6.45,6.46,3.97,Ideal
2844,0.79,5.91,5.93,3.7,Ideal
2846,0.79,5.96,5.91,3.65,Ideal
2846,0.73,5.79,5.84,3.58,Ideal
2846,0.73,5.92,5.95,3.51,Ideal
2846,0.7,5.71,5.76,3.53,Ideal
2847,0.72,5.83,5.85,3.52,Ideal
2848,0.54,5.25,5.29,3.24,Ideal
2850,0.7,5.69,5.79,3.49,Ideal
2850,0.75,5.83,5.87,3.6,Ideal
2851,0.66,5.54,5.57,3.45,Ideal
2851,0.74,5.85,5.81,3.56,Ideal
2852,0.78,5.88,5.92,3.63,Ideal
2852,0.74,5.85,5.86,3.59,Ideal
2852,0.73,5.7,5.79,3.6,Ideal
2853,0.79,5.9,5.85,3.69,Ideal
2856,1.02,6.49,6.43,3.98,Ideal
2856,0.6,5.44,5.49,3.32,Ideal
2856,0.8,5.97,6.01,3.69,Ideal
2856,0.97,6.43,6.41,3.9,Ideal
556,0.26,4.05,4.08,2.53,Ideal
556,0.26,4.09,4.12,2.55,Ideal
556,0.36,4.57,4.59,2.83,Ideal
556,0.34,4.47,4.5,2.79,Ideal
557,0.31,4.36,4.41,2.7,Ideal
557,0.31,4.36,4.38,2.68,Ideal
557,0.31,4.37,4.4,2.73,Ideal
557,0.31,4.37,4.4,2.72,Ideal
557,0.31,4.33,4.35,2.72,Ideal
557,0.31,4.36,4.38,2.72,Ideal
557,0.31,4.32,4.35,2.7,Ideal
557,0.31,4.35,4.37,2.69,Ideal
557,0.31,4.33,4.37,2.69,Ideal
557,0.33,4.45,4.41,2.74,Ideal
557,0.33,4.44,4.41,2.75,Ideal
557,0.33,4.39,4.37,2.76,Ideal
2857,0.72,5.76,5.7,3.57,Ideal
2858,0.7,5.63,5.71,3.52,Ideal
2858,0.76,5.88,5.83,3.67,Ideal
2858,0.73,5.84,5.8,3.58,Ideal
2859,0.7,5.76,5.74,3.51,Ideal
2859,0.71,5.74,5.78,3.54,Ideal
2860,0.6,5.41,5.44,3.35,Ideal
2860,0.53,5.23,5.2,3.2,Ideal
2861,0.62,5.45,5.48,3.37,Ideal
2861,0.62,5.48,5.51,3.38,Ideal
2862,0.7,5.71,5.74,3.5,Ideal
2863,0.71,5.8,5.77,3.52,Ideal
2863,0.71,5.75,5.7,3.53,Ideal
2863,0.72,5.91,5.86,3.5,Ideal
2863,0.71,5.79,5.75,3.52,Ideal
2864,0.81,6.07,6.04,3.65,Ideal
2866,0.71,5.74,5.7,3.56,Ideal
2866,0.7,5.66,5.7,3.54,Ideal
2867,0.7,5.68,5.61,3.52,Ideal
2867,0.71,5.78,5.81,3.5,Ideal
2867,0.82,5.99,5.95,3.72,Ideal
2867,0.52,5.21,5.19,3.18,Ideal
2867,0.82,6.12,6,3.74,Ideal
2867,0.82,6.02,5.96,3.73,Ideal
2867,0.8,5.96,5.91,3.64,Ideal
2868,0.72,5.72,5.75,3.58,Ideal
2868,0.62,5.52,5.56,3.35,Ideal
2869,0.72,5.77,5.84,3.53,Ideal
2869,0.62,5.43,5.47,3.37,Ideal
2869,0.73,5.84,5.81,3.57,Ideal
2869,0.72,5.79,5.77,3.52,Ideal
2870,0.83,6,6.05,3.75,Ideal
2870,0.8,5.94,5.9,3.7,Ideal
2870,0.74,5.77,5.83,3.6,Ideal
2870,0.72,5.72,5.79,3.54,Ideal
2870,0.82,6.12,6.09,3.63,Ideal
2871,0.75,5.83,5.85,3.61,Ideal
2871,0.79,5.91,5.95,3.71,Ideal
2872,1.02,6.44,6.49,3.99,Ideal
2872,0.7,5.63,5.73,3.51,Ideal
2872,0.7,5.71,5.75,3.52,Ideal
2872,0.7,5.72,5.75,3.48,Ideal
2872,0.74,5.74,5.78,3.59,Ideal
2873,0.76,5.78,5.82,3.64,Ideal
2873,1,6.45,6.41,3.97,Ideal
2874,0.7,5.77,5.73,3.51,Ideal
2874,0.7,5.75,5.71,3.53,Ideal
2874,0.7,5.69,5.65,3.54,Ideal
2875,0.77,5.84,5.9,3.66,Ideal
2877,0.71,5.75,5.7,3.57,Ideal
2877,0.74,5.8,5.83,3.62,Ideal
2878,0.71,5.76,5.78,3.55,Ideal
2878,0.79,5.88,5.9,3.7,Ideal
2879,0.84,6.13,6.1,3.73,Ideal
2879,0.84,6.08,6.03,3.77,Ideal
2879,1.02,6.53,6.5,3.93,Ideal
2879,0.72,5.76,5.73,3.56,Ideal
2881,0.7,5.74,5.71,3.55,Ideal
2882,0.54,5.23,5.26,3.24,Ideal
2883,0.72,5.75,5.81,3.57,Ideal
2885,0.77,5.9,5.93,3.64,Ideal
2886,0.73,5.79,5.81,3.56,Ideal
2886,0.72,5.64,5.69,3.55,Ideal
2888,0.79,5.93,5.96,3.67,Ideal
2889,0.5,5.08,5.12,3.17,Ideal
2889,0.5,5.09,5.11,3.17,Ideal
2889,0.74,5.83,5.87,3.58,Ideal
2890,0.8,6.07,6,3.71,Ideal
2890,0.8,5.9,5.87,3.67,Ideal
2890,0.66,5.61,5.58,3.44,Ideal
2891,0.71,5.73,5.77,3.52,Ideal
2891,0.71,5.74,5.76,3.54,Ideal
2891,0.71,5.71,5.75,3.59,Ideal
2891,0.72,5.78,5.81,3.54,Ideal
2892,0.86,6.12,6.14,3.79,Ideal
2893,0.71,5.73,5.75,3.53,Ideal
2893,0.75,5.78,5.83,3.63,Ideal
2893,0.8,5.89,5.92,3.69,Ideal
2894,0.81,5.96,6,3.72,Ideal
2894,0.76,5.88,5.92,3.62,Ideal
2895,0.7,5.71,5.75,3.56,Ideal
2896,0.53,5.18,5.24,3.21,Ideal
2896,0.79,5.91,5.96,3.65,Ideal
2896,0.73,5.82,5.86,3.59,Ideal
2896,0.77,5.83,5.89,3.64,Ideal
2896,1.01,6.46,6.45,3.97,Ideal
2897,0.54,5.3,5.34,3.26,Ideal
2897,0.72,5.69,5.74,3.57,Ideal
2898,0.75,5.83,5.8,3.62,Ideal
2898,0.77,5.92,5.81,3.67,Ideal
2898,0.79,5.98,5.93,3.64,Ideal
2898,0.79,5.9,5.85,3.66,Ideal
2898,0.79,5.9,5.85,3.66,Ideal
2898,0.79,5.9,5.85,3.66,Ideal
2898,0.79,5.9,5.85,3.66,Ideal
2898,0.79,5.9,5.85,3.66,Ideal
2901,0.81,5.95,5.9,3.73,Ideal
2901,0.74,5.81,5.78,3.59,Ideal
2902,0.73,5.82,5.8,3.57,Ideal
2902,0.75,5.82,5.86,3.6,Ideal
2903,0.75,5.83,5.8,3.62,Ideal
2903,0.72,5.78,5.75,3.57,Ideal
2904,0.62,5.48,5.52,3.41,Ideal
2905,0.53,5.16,5.21,3.24,Ideal
2906,0.8,5.92,5.95,3.69,Ideal
2907,0.61,5.42,5.43,3.38,Ideal
2907,0.61,5.42,5.45,3.39,Ideal
2907,0.61,5.43,5.45,3.38,Ideal
2907,0.72,5.68,5.72,3.58,Ideal
2907,0.7,5.69,5.73,3.56,Ideal
2907,0.71,5.7,5.74,3.54,Ideal
2907,0.79,5.98,6.02,3.62,Ideal
2907,0.72,5.7,5.73,3.58,Ideal
557,0.33,4.46,4.41,2.79,Ideal
558,0.39,4.66,4.7,2.88,Ideal
558,0.32,4.41,4.46,2.72,Ideal
558,0.31,4.4,4.35,2.7,Ideal
558,0.31,4.44,4.41,2.66,Ideal
558,0.31,4.37,4.34,2.67,Ideal
558,0.31,4.4,4.38,2.63,Ideal
558,0.31,4.31,4.27,2.7,Ideal
2908,0.73,5.8,5.84,3.58,Ideal
2909,0.71,5.76,5.81,3.54,Ideal
2909,0.71,5.7,5.74,3.54,Ideal
2909,0.9,6.19,6.13,3.81,Ideal
2911,0.59,5.39,5.41,3.3,Ideal
2911,0.71,5.76,5.8,3.5,Ideal
2913,0.71,5.7,5.75,3.53,Ideal
2913,0.85,6.1,6.02,3.76,Ideal
2914,0.73,5.76,5.8,3.55,Ideal
2915,0.71,5.74,5.71,3.56,Ideal
2917,0.93,6.22,6.26,3.87,Ideal
2917,0.7,5.63,5.67,3.53,Ideal
2917,0.71,5.77,5.73,3.52,Ideal
2918,0.71,5.7,5.76,3.56,Ideal
2918,0.72,5.75,5.79,3.56,Ideal
2919,0.73,5.79,5.76,3.58,Ideal
2919,0.73,5.83,5.77,3.59,Ideal
2920,0.72,5.78,5.85,3.55,Ideal
2920,0.71,5.71,5.67,3.56,Ideal
2921,0.65,5.58,5.61,3.43,Ideal
2922,0.53,5.24,5.18,3.21,Ideal
2922,0.77,5.95,5.9,3.59,Ideal
2923,0.87,6.13,6.06,3.81,Ideal
2923,0.71,5.71,5.74,3.57,Ideal
2923,0.77,5.98,6.04,3.62,Ideal
2923,0.78,5.94,5.98,3.64,Ideal
2924,0.7,5.71,5.75,3.52,Ideal
2925,0.71,5.74,5.77,3.54,Ideal
2925,1.02,6.49,6.44,3.99,Ideal
2927,0.8,6.07,6.09,3.61,Ideal
2929,0.7,5.68,5.71,3.52,Ideal
2929,0.7,5.78,5.83,3.49,Ideal
2930,0.7,5.67,5.72,3.55,Ideal
2930,0.71,5.69,5.74,3.56,Ideal
2930,0.71,5.69,5.73,3.58,Ideal
2930,0.71,5.67,5.7,3.56,Ideal
2930,0.71,5.75,5.7,3.53,Ideal
2931,0.72,5.71,5.74,3.54,Ideal
2933,0.75,5.81,5.87,3.64,Ideal
2934,0.71,5.77,5.74,3.57,Ideal
2936,0.74,5.81,5.86,3.53,Ideal
2936,0.7,5.69,5.72,3.57,Ideal
2937,0.82,6.01,5.98,3.72,Ideal
2938,0.81,6.1,6.06,3.66,Ideal
2939,0.8,6.02,6.01,3.66,Ideal
2939,0.73,5.72,5.77,3.6,Ideal
2939,0.72,5.71,5.74,3.57,Ideal
2939,0.75,5.93,5.91,3.59,Ideal
2939,0.81,6.02,5.99,3.71,Ideal
2940,0.7,5.92,5.64,3.54,Ideal
2940,0.75,5.84,5.81,3.59,Ideal
2940,0.7,5.73,5.68,3.51,Ideal
2942,0.7,5.78,5.79,3.52,Ideal
2943,0.73,5.82,5.78,3.56,Ideal
2943,0.72,5.77,5.75,3.57,Ideal
2944,0.79,5.96,5.98,3.68,Ideal
2946,0.72,5.72,5.75,3.57,Ideal
2946,0.72,5.7,5.73,3.57,Ideal
2946,0.77,5.9,5.93,3.64,Ideal
2946,0.79,5.9,5.94,3.69,Ideal
2947,0.76,5.82,5.87,3.63,Ideal
2947,0.92,6.37,6.34,3.72,Ideal
2947,0.7,5.69,5.72,3.49,Ideal
2947,0.7,5.76,5.81,3.5,Ideal
2947,0.74,5.79,5.82,3.6,Ideal
2947,0.74,5.83,5.86,3.57,Ideal
2947,0.73,5.79,5.81,3.55,Ideal
2948,0.73,5.8,5.84,3.59,Ideal
2948,0.7,5.68,5.7,3.53,Ideal
2948,0.9,6.2,6.16,3.83,Ideal
2949,0.76,5.84,5.89,3.62,Ideal
2949,0.77,5.81,5.92,3.67,Ideal
2949,0.72,5.72,5.74,3.57,Ideal
2950,0.71,5.68,5.73,3.56,Ideal
2951,0.54,5.27,5.28,3.25,Ideal
2951,0.81,5.95,5.96,3.71,Ideal
2951,0.73,5.77,5.81,3.56,Ideal
2951,0.72,5.84,5.79,3.55,Ideal
2952,0.72,5.76,5.79,3.55,Ideal
2952,0.72,5.76,5.8,3.55,Ideal
2952,0.7,5.7,5.73,3.54,Ideal
2952,0.7,5.63,5.68,3.54,Ideal
2952,0.7,5.71,5.75,3.56,Ideal
2952,0.74,5.79,5.81,3.6,Ideal
2954,0.72,5.75,5.78,3.57,Ideal
2954,0.75,5.8,5.83,3.62,Ideal
2954,0.76,5.88,5.92,3.64,Ideal
2956,0.7,5.75,5.77,3.5,Ideal
2956,0.72,5.75,5.72,3.59,Ideal
2956,0.72,5.75,5.73,3.57,Ideal
2958,0.72,5.74,5.77,3.57,Ideal
2958,0.79,5.89,5.94,3.68,Ideal
2959,0.82,6,6.03,3.72,Ideal
2960,0.7,5.72,5.76,3.52,Ideal
2960,0.76,5.82,5.78,3.63,Ideal
2960,0.72,5.77,5.81,3.55,Ideal
2960,0.64,5.52,5.56,3.42,Ideal
2960,0.74,5.85,5.8,3.6,Ideal
2961,0.74,5.79,5.85,3.56,Ideal
2961,0.63,5.48,5.5,3.42,Ideal
2961,0.72,5.8,5.82,3.55,Ideal
2961,0.76,5.91,5.93,3.59,Ideal
2962,0.63,5.47,5.49,3.43,Ideal
2962,0.72,5.73,5.76,3.56,Ideal
2962,0.71,5.69,5.72,3.55,Ideal
2963,0.71,5.76,5.73,3.57,Ideal
2964,0.75,5.84,5.86,3.61,Ideal
2965,0.71,5.68,5.72,3.52,Ideal
2965,0.71,5.71,5.75,3.53,Ideal
2965,0.71,5.73,5.76,3.52,Ideal
2965,0.71,5.72,5.76,3.52,Ideal
2965,0.7,5.7,5.73,3.53,Ideal
2965,0.7,5.73,5.79,3.51,Ideal
2966,0.7,5.69,5.73,3.53,Ideal
2966,0.75,5.87,5.92,3.61,Ideal
2966,0.82,6.06,6.02,3.68,Ideal
2967,0.79,5.91,5.93,3.67,Ideal
558,0.31,4.39,4.37,2.69,Ideal
559,0.24,3.97,3.99,2.48,Ideal
559,0.24,3.97,4,2.47,Ideal
559,0.24,4,4.04,2.5,Ideal
559,0.24,4.01,4.03,2.49,Ideal
559,0.24,3.97,4.01,2.47,Ideal
559,0.32,4.4,4.43,2.73,Ideal
559,0.32,4.41,4.45,2.7,Ideal
559,0.24,3.99,4.01,2.47,Ideal
559,0.24,4.01,4.05,2.44,Ideal
559,0.24,3.99,4.02,2.47,Ideal
559,0.24,3.99,4.02,2.46,Ideal
559,0.24,4,4.03,2.46,Ideal
559,0.32,4.39,4.41,2.74,Ideal
559,0.32,4.42,4.45,2.74,Ideal
560,0.32,4.4,4.43,2.72,Ideal
560,0.36,4.57,4.62,2.83,Ideal
561,0.41,4.77,4.8,2.95,Ideal
561,0.32,4.4,4.42,2.71,Ideal
2968,0.9,6.16,6.13,3.84,Ideal
2969,0.8,6.02,6.07,3.7,Ideal
2970,0.78,5.94,5.91,3.64,Ideal
2972,0.76,5.99,6.03,3.57,Ideal
2972,0.7,5.64,5.71,3.5,Ideal
2973,0.75,5.83,5.86,3.64,Ideal
2973,0.77,5.9,5.95,3.59,Ideal
2973,0.7,5.74,5.79,3.49,Ideal
2974,0.82,5.96,6.02,3.75,Ideal
2974,0.57,5.33,5.35,3.3,Ideal
2974,0.71,5.81,5.8,3.46,Ideal
2975,0.8,5.9,5.97,3.74,Ideal
2975,0.83,6.1,6.06,3.73,Ideal
2976,0.79,5.88,5.92,3.69,Ideal
2976,0.72,5.82,5.85,3.56,Ideal
2976,0.91,6.17,6.12,3.86,Ideal
2977,0.81,5.98,6.01,3.71,Ideal
2977,0.54,5.28,5.27,3.25,Ideal
2978,0.71,5.7,5.73,3.57,Ideal
2978,0.7,5.77,5.83,3.54,Ideal
2978,0.8,6,6.03,3.67,Ideal
2978,0.76,5.85,5.88,3.64,Ideal
2979,0.72,5.76,5.82,3.47,Ideal
2979,0.7,5.74,5.71,3.53,Ideal
2980,0.7,5.67,5.78,3.52,Ideal
2981,0.7,5.67,5.71,3.54,Ideal
2981,0.91,6.24,6.23,3.84,Ideal
2982,0.71,5.7,5.75,3.53,Ideal
2982,0.71,5.86,5.83,3.48,Ideal
2984,0.74,5.8,5.77,3.63,Ideal
2985,0.75,5.82,5.86,3.63,Ideal
2986,0.8,5.92,5.98,3.69,Ideal
2986,0.82,6,6.05,3.71,Ideal
2986,0.84,6.02,6.05,3.74,Ideal
2987,0.7,5.68,5.7,3.49,Ideal
2987,0.74,5.8,5.84,3.58,Ideal
2988,0.76,5.92,5.89,3.64,Ideal
2989,0.72,5.76,5.8,3.59,Ideal
2991,0.75,5.91,5.93,3.59,Ideal
2991,0.7,5.71,5.76,3.46,Ideal
2992,0.75,5.83,5.85,3.62,Ideal
2993,0.7,5.65,5.69,3.57,Ideal
2993,0.7,5.65,5.7,3.54,Ideal
2993,0.75,5.83,5.86,3.57,Ideal
2993,0.72,5.76,5.8,3.53,Ideal
2995,0.73,5.78,5.82,3.56,Ideal
2995,0.7,5.76,5.8,3.52,Ideal
2996,0.77,5.9,5.93,3.63,Ideal
2997,0.74,5.8,5.83,3.6,Ideal
2997,0.72,5.78,5.8,3.54,Ideal
2998,0.7,5.69,5.75,3.59,Ideal
2998,0.72,5.79,5.81,3.56,Ideal
2998,0.7,5.7,5.73,3.52,Ideal
2999,0.71,5.69,5.74,3.54,Ideal
3000,0.77,5.87,5.91,3.68,Ideal
3001,0.9,6.16,6.2,3.83,Ideal
3001,0.6,5.42,5.43,3.37,Ideal
3002,0.72,5.78,5.77,3.56,Ideal
3003,0.76,5.89,5.91,3.63,Ideal
3004,0.81,6.04,6,3.72,Ideal
3004,0.7,5.69,5.72,3.52,Ideal
3004,0.61,5.53,5.5,3.38,Ideal
3004,0.78,5.95,5.97,3.61,Ideal
3004,0.72,5.77,5.79,3.6,Ideal
3005,0.55,5.3,5.35,3.26,Ideal
3005,0.72,5.8,5.86,3.52,Ideal
3005,0.73,5.81,5.78,3.57,Ideal
3007,0.71,5.76,5.8,3.51,Ideal
3007,0.71,5.78,5.81,3.5,Ideal
3007,0.71,5.73,5.79,3.53,Ideal
3007,0.71,5.72,5.78,3.54,Ideal
3007,0.71,5.73,5.76,3.55,Ideal
3007,0.71,5.73,5.76,3.54,Ideal
3007,0.71,5.72,5.77,3.53,Ideal
3007,0.76,5.88,5.91,3.61,Ideal
3008,0.61,5.46,5.48,3.35,Ideal
3008,0.7,5.7,5.76,3.51,Ideal
3010,0.83,6,6.02,3.73,Ideal
3010,0.8,5.98,6.02,3.64,Ideal
3011,0.8,5.89,5.85,3.65,Ideal
3011,0.61,5.43,5.47,3.38,Ideal
3011,0.7,5.7,5.74,3.54,Ideal
3011,0.7,5.67,5.75,3.53,Ideal
3011,0.7,5.66,5.69,3.56,Ideal
