price,carat,total_depth_%,table,length,width,depth,cut,color,clarity,color_mod,clarity_mod
2803,0.77,61.3,57,5.93,5.88,3.62,Premium,G,VS2,4,5
2803,0.71,59.9,60,5.81,5.77,3.47,Premium,G,VS2,4,5
2803,0.78,60.8,58,6.03,5.95,3.64,Premium,G,VS2,4,5
2803,0.71,63.5,55,5.66,5.64,3.59,Very Good,G,VS1,4,4
2803,0.91,62.2,57,6.21,6.15,3.85,Ideal,D,SI2,1,7
2804,0.71,63.8,58,5.62,5.66,3.6,Very Good,E,VS2,2,5
2804,0.71,64,57,5.66,5.68,3.63,Very Good,E,VS2,2,5
2804,0.8,62.5,56,5.88,5.96,3.7,Very Good,E,SI2,2,7
2804,0.7,62.3,58,5.69,5.73,3.56,Very Good,D,SI1,1,6
2804,0.72,61.7,57,5.74,5.77,3.55,Ideal,F,VS1,3,4
2804,0.72,62.2,58,5.75,5.7,3.56,Very Good,F,VS1,3,4
2804,0.82,61.5,56,6.01,6.08,3.72,Ideal,H,VS2,5,5
2804,0.7,61,59,5.68,5.7,3.47,Ideal,D,SI1,1,6
2804,0.72,62.2,56,5.74,5.77,3.58,Ideal,D,SI1,1,6
2804,0.72,61.5,54,5.77,5.8,3.56,Ideal,D,SI1,1,6
2804,0.9,67.3,59,5.93,5.84,3.96,Fair,I,SI1,6,6
2805,0.74,61.7,58,5.85,5.78,3.59,Premium,F,VS2,3,5
2805,0.74,61.9,56,5.8,5.77,3.58,Premium,F,VS2,3,5
2805,0.73,61.8,58,5.77,5.81,3.58,Ideal,E,SI2,2,7
